City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Umarkot,PK,2021-06-04 19:16:11,25.3616,69.7362,88.12,56,0,15.12
68,Deloraine,AU,2021-06-04 19:16:11,-41.5333,146.6667,38.7,89,100,2.77
69,La Ronge,CA,2021-06-04 19:16:11,55.1001,-105.2842,77.22,29,20,6.91
70,Bengkulu,ID,2021-06-04 19:16:12,-3.8004,102.2655,75.29,91,86,4.05
71,Bakchar,RU,2021-06-04 19:16:12,57.0186,82.0711,45.79,64,74,12.28
72,Yelizovo,RU,2021-06-04 19:16:13,53.1873,158.3805,51.94,54,100,6.71
73,Saint-Philippe,RE,2021-06-04 19:16:13,-21.3585,55.7679,74.75,83,47,12.26
74,Beringovskiy,RU,2021-06-04 19:16:13,63.05,179.3167,35.83,87,95,2.26
75,Ust-Kuyga,RU,2021-06-04 19:16:13,70.0167,135.6,58.66,71,100,2.75
76,Chuy,UY,2021-06-04 19:16:14,-33.6971,-53.4616,66.79,89,66,6.35
77,Codrington,AU,2021-06-04 19:16:14,-38.2667,141.9667,42.96,78,100,12.5
78,Kodiak,US,2021-06-04 19:16:14,57.79,-152.4072,56.71,47,1,10.36
79,Tortoli,IT,2021-06-04 19:16:15,39.9256,9.6572,69.82,83,0,17.27
80,Aleksandrov Gay,RU,2021-06-04 19:16:15,50.147,48.5704,58.91,78,70,7.34
81,Saint George,US,2021-06-04 19:16:15,37.1041,-113.5841,104.47,13,1,4.0
82,Carballo,ES,2021-06-04 19:16:16,43.213,-8.691,65.01,74,0,5.66
83,Sao Filipe,CV,2021-06-04 19:16:16,14.8961,-24.4956,75.65,70,51,12.33
84,Athabasca,CA,2021-06-04 19:16:16,54.7169,-113.2854,73.22,41,100,3.24
85,At-Bashi,KG,2021-06-04 19:16:17,41.1702,75.8106,53.8,67,21,2.26
86,Saskylakh,RU,2021-06-04 19:16:17,71.9167,114.0833,33.66,92,100,8.3
87,East London,ZA,2021-06-04 19:16:18,-33.0153,27.9116,58.19,57,12,6.44
88,Zaranj,AF,2021-06-04 19:16:18,30.9667,61.8833,94.96,7,0,22.46
89,Ushuaia,AR,2021-06-04 19:11:58,-54.8,-68.3,35.26,87,20,4.61
90,New Norfolk,AU,2021-06-04 19:16:18,-42.7826,147.0587,44.58,78,100,1.01
91,Cape Town,ZA,2021-06-04 19:12:01,-33.9258,18.4232,58.1,81,100,3.0
92,Nantucket,US,2021-06-04 19:15:31,41.2835,-70.0995,65.97,99,90,12.66
93,Dikson,RU,2021-06-04 19:16:19,73.5069,80.5464,29.86,97,100,16.64
94,Katsuura,JP,2021-06-04 19:16:19,35.1333,140.3,70.11,90,100,10.2
95,Bambous Virieux,MU,2021-06-04 19:16:20,-20.3428,57.7575,71.22,100,75,18.95
96,Puerto Ayora,EC,2021-06-04 19:16:20,-0.7393,-90.3518,80.56,84,78,7.0
97,Hovd,MN,2021-06-04 19:16:20,48.0056,91.6419,67.15,40,94,9.8
98,Vaini,TO,2021-06-04 19:16:20,-21.2,-175.2,71.76,83,40,2.3
99,Port Hedland,AU,2021-06-04 19:16:21,-20.3167,118.5667,69.85,46,90,9.22
100,Souillac,MU,2021-06-04 19:16:21,-20.5167,57.5167,71.37,100,75,16.89
101,Zabid,YE,2021-06-04 19:16:21,14.1951,43.3152,94.39,37,100,6.44
102,Ambilobe,MG,2021-06-04 19:16:22,-13.2,49.05,71.19,90,10,2.68
103,Ancud,CL,2021-06-04 19:16:22,-41.8697,-73.8203,49.53,80,84,9.33
104,Matay,EG,2021-06-04 19:16:22,28.419,30.7792,78.84,27,0,21.09
105,Maxixe,MZ,2021-06-04 19:16:23,-23.8597,35.3472,63.23,83,65,13.0
106,Kichera,RU,2021-06-04 19:16:23,55.9375,110.0997,54.37,56,7,0.96
107,Mookane,BW,2021-06-04 19:16:23,-23.688,26.6595,53.37,38,2,6.8
108,Namatanai,PG,2021-06-04 19:16:24,-3.6667,152.4333,79.38,84,65,4.74
109,Qaanaaq,GL,2021-06-04 19:16:24,77.484,-69.3632,35.19,79,30,1.54
110,Laguna,US,2021-06-04 19:16:24,38.421,-121.4238,96.21,41,1,3.0
111,Lagos,NG,2021-06-04 19:15:25,6.5833,3.75,82.72,81,87,6.35
112,Ribeira Grande,PT,2021-06-04 19:16:25,38.5167,-28.7,66.6,77,40,12.66
113,Chapais,CA,2021-06-04 19:16:25,49.7834,-74.8492,67.78,27,100,6.26
114,Kalaleh,IR,2021-06-04 19:16:25,37.3807,55.4916,73.94,65,100,4.41
115,Lashio,MM,2021-06-04 19:16:26,22.9333,97.75,67.64,98,93,1.3
116,Aqtobe,KZ,2021-06-04 19:11:34,50.2797,57.2072,64.49,39,40,11.18
117,Hermanus,ZA,2021-06-04 19:16:26,-34.4187,19.2345,56.89,84,17,10.27
118,Faanui,PF,2021-06-04 19:16:26,-16.4833,-151.75,80.02,76,41,9.55
119,Tuktoyaktuk,CA,2021-06-04 19:16:27,69.4541,-133.0374,37.4,100,90,9.22
120,Ust-Omchug,RU,2021-06-04 19:16:27,61.15,149.6333,43.68,88,100,5.5
121,Gallup,US,2021-06-04 19:13:29,35.5281,-108.7426,85.84,17,1,4.0
122,Esperance,AU,2021-06-04 19:16:28,-33.8667,121.9,56.41,67,42,13.27
