City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Mitsamiouli,KM,-11.3847,43.2844,75.45,59,2,3.91,clear sky
106,Ponta Delgada,PT,37.7333,-25.6667,57.92,82,20,8.05,few clouds
107,Laja,CL,-37.2667,-72.7,54.39,96,4,4.79,clear sky
108,Aleksandrov Gay,RU,50.147,48.5704,65.88,56,86,14.05,overcast clouds
109,Ossora,RU,59.2353,163.0719,37.36,94,100,2.04,overcast clouds
110,Yellowknife,CA,62.456,-114.3525,55.92,41,75,10.36,broken clouds
111,Store Heddinge,DK,55.3097,12.3889,49.68,83,74,8.34,broken clouds
112,East London,ZA,-33.0153,27.9116,60.96,73,58,6.15,broken clouds
113,Harboore,DK,56.6175,8.1807,50.09,96,78,12.26,broken clouds
114,Rawson,AR,-43.3002,-65.1023,54.12,48,100,11.03,overcast clouds
115,Yanahuanca,PE,-10.5167,-76.4986,35.08,90,34,0.72,scattered clouds
116,Port Elizabeth,ZA,-33.918,25.5701,57.49,62,0,4.61,clear sky
117,Norman Wells,CA,65.282,-126.8329,46.44,61,90,2.3,overcast clouds
118,Copperas Cove,US,31.1241,-97.9031,81.23,75,1,4.61,clear sky
119,Margate,GB,51.3813,1.3862,51.04,80,99,1.99,overcast clouds
120,Narsaq,GL,60.9167,-46.05,43.14,61,76,5.66,broken clouds
121,Souillac,MU,-20.5167,57.5167,73.36,94,75,6.35,broken clouds
122,Mar Del Plata,AR,-38.0023,-57.5575,64.0,41,0,11.99,light rain
123,Kolondieba,ML,11.0882,-6.8926,82.31,56,63,4.81,broken clouds
124,Camocim,BR,-2.9022,-40.8411,75.94,87,9,9.08,clear sky
125,Torbay,CA,47.6666,-52.7314,52.88,97,90,24.16,overcast clouds
126,Jiuquan,CN,39.7432,98.5174,81.28,11,73,3.15,broken clouds
127,Tiksi,RU,71.6872,128.8694,36.61,87,100,5.73,overcast clouds
128,Tonstad,NO,58.6626,6.7169,48.24,71,3,4.7,clear sky
129,Cherskiy,RU,68.75,161.3,59.67,30,100,20.62,overcast clouds
130,Praya,CV,14.9215,-23.5087,70.34,78,75,12.66,broken clouds
131,Huarmey,PE,-10.0681,-78.1522,66.74,92,55,6.38,broken clouds
132,Carutapera,BR,-1.195,-46.02,75.47,92,68,3.78,broken clouds
133,Tazmalt,DZ,36.3868,4.3989,66.33,73,49,3.96,scattered clouds
134,Mykolayivka,UA,47.5414,30.7561,60.6,68,23,3.44,few clouds
135,Leningradskiy,RU,69.3833,178.4167,33.62,91,85,12.39,overcast clouds
136,Bradut,RO,46.1333,25.6167,56.34,98,100,1.86,light rain
137,Ganzhou,CN,28.8184,115.4327,72.75,85,100,3.74,overcast clouds
138,Jutai,BR,-5.1833,-68.9,77.23,82,100,2.57,overcast clouds
139,Beloha,MG,-25.1667,45.05,61.27,96,5,4.74,clear sky
140,Ilulissat,GL,69.2167,-51.1,42.21,57,100,14.29,overcast clouds
141,Alofi,NU,-19.0595,-169.9187,82.29,65,40,6.91,scattered clouds
142,Laiyang,CN,36.9758,120.7136,72.14,99,11,5.99,few clouds
143,Flin Flon,CA,54.7682,-101.865,50.38,51,57,12.21,broken clouds
144,Vostok,RU,46.4856,135.8833,59.45,44,98,2.53,overcast clouds
145,Malibu,US,34.005,-118.8101,71.26,88,8,3.0,clear sky
146,Georgetown,MY,5.4112,100.3354,85.95,79,20,4.61,few clouds
147,Dunedin,NZ,-45.8742,170.5036,47.8,83,100,7.0,moderate rain
148,Novomikhaylovskiy,RU,44.2581,38.8578,61.0,83,14,5.19,few clouds
149,Basco,PH,20.4487,121.9702,85.06,77,78,13.4,broken clouds
150,Balikpapan,ID,-1.2675,116.8289,85.19,84,40,4.61,scattered clouds
151,Chapais,CA,49.7834,-74.8492,29.98,52,5,11.25,clear sky
152,Bhanpura,IN,24.513,75.7469,90.72,50,2,15.93,clear sky
153,Claudio,BR,-20.4433,-44.7658,62.76,77,27,4.12,scattered clouds
154,Te Anau,NZ,-45.4167,167.7167,41.97,96,100,2.98,overcast clouds
155,Gornozavodsk,RU,58.3758,58.3211,46.71,68,99,2.42,overcast clouds
156,Balabac,PH,7.9868,117.0645,86.61,65,42,6.08,scattered clouds
157,Solesti,RO,46.7667,27.7833,60.66,84,83,3.8,broken clouds
158,Codrington,AU,-38.2667,141.9667,55.67,54,78,10.25,broken clouds
159,Sechura,PE,-5.5569,-80.8222,70.18,79,14,13.0,few clouds
160,Jhang,PK,33.6748,72.6963,91.72,17,0,6.26,clear sky
161,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,8.61,broken clouds
162,Lorengau,PG,-2.0226,147.2712,82.22,82,80,7.76,broken clouds
163,Phonhong,LA,18.5007,102.4166,84.02,69,70,1.88,broken clouds
164,Mecca,SA,21.4267,39.8261,82.89,49,6,5.48,clear sky
165,Meshchovsk,RU,54.3244,35.2808,58.98,89,100,3.74,light rain
166,Waingapu,ID,-9.6567,120.2641,84.45,60,99,19.55,overcast clouds
167,Saint-Philippe,RE,-21.3585,55.7679,71.15,78,24,3.27,few clouds
168,Dwarka,IN,22.2394,68.9678,84.18,74,62,16.73,broken clouds
169,Klyuchi,RU,52.2667,79.1667,55.02,45,2,11.14,clear sky
170,Sao Felix Do Xingu,BR,-6.6447,-51.995,68.11,86,30,1.86,scattered clouds
171,Lebu,CL,-37.6167,-73.65,54.46,82,77,11.72,broken clouds
172,Kalyazin,RU,57.2403,37.8433,55.96,88,100,4.18,overcast clouds
173,Hasaki,JP,35.7333,140.8333,79.29,65,100,3.76,overcast clouds
174,Raga,SS,8.4596,25.678,71.35,89,94,4.32,overcast clouds
175,Bowen,AU,-20.0167,148.2333,75.42,38,0,8.23,clear sky
176,Valparaiso,CL,-33.0393,-71.6273,56.32,84,100,7.27,overcast clouds
177,Vila Velha,BR,-20.3297,-40.2925,71.94,94,40,1.99,scattered clouds
178,Andenes,NO,69.3143,16.1194,41.07,70,90,14.97,overcast clouds
179,Cape Town,ZA,-33.9258,18.4232,59.88,92,90,5.99,heavy intensity rain
180,Tshikapa,CD,-6.4167,20.8,67.44,50,100,2.01,overcast clouds
181,Chernyshevskiy,RU,63.0128,112.4714,58.12,55,80,6.53,broken clouds
182,Airai,TL,-8.9266,125.4092,68.25,66,71,4.74,broken clouds
183,Grindavik,IS,63.8424,-22.4338,48.67,61,75,39.24,light rain
184,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.64,99,58,2.19,broken clouds
185,Upington,ZA,-28.4478,21.2561,52.18,50,0,4.61,clear sky
186,Acarau,BR,-2.8856,-40.12,77.86,82,27,12.12,scattered clouds
187,Avera,US,33.194,-82.5271,78.71,53,3,7.02,clear sky
188,Kavaratti,IN,10.5669,72.642,83.61,75,9,17.11,clear sky
189,Ribeira Grande,PT,38.5167,-28.7,59.38,64,100,6.15,overcast clouds
190,Rio Gallegos,AR,-51.6226,-69.2181,26.65,93,20,14.97,few clouds
191,Nanzhang,CN,31.7765,111.8386,84.09,40,100,9.64,overcast clouds
192,Rongcheng,CN,30.634,117.8517,79.25,72,100,8.79,light rain
193,Kalispell,US,48.1958,-114.3129,53.04,83,90,8.05,overcast clouds
194,Kaeo,NZ,-35.1,173.7833,62.33,87,2,11.03,clear sky
195,Palu,ID,-0.8917,119.8707,91.67,53,6,1.92,clear sky
196,Ahipara,NZ,-35.1667,173.1667,61.48,73,17,12.71,few clouds
197,Husavik,IS,66.0449,-17.3389,40.91,64,8,15.1,clear sky
198,Shimoda,JP,34.6667,138.95,78.12,66,100,17.05,overcast clouds
199,Beidao,CN,34.5686,105.8933,74.28,32,100,4.72,overcast clouds
200,Matam,SN,15.6175,-13.3303,84.83,27,27,10.78,scattered clouds
201,Muisne,EC,0.6,-80.0333,76.8,87,96,11.79,overcast clouds
202,Matagami,CA,49.7502,-77.6328,33.91,64,90,4.83,overcast clouds
