City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Patricio,US,80.85,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
5,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Buloh Kasap,MY,84.11,broken clouds,2.5536,102.764,Teratak Ixora Segamat
8,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
9,Bubaque,GW,77.56,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
11,Butaritari,KI,83.66,light rain,3.0707,172.7902,Isles Sunset Lodge
13,Kapaa,US,80.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Baculin,PH,85.48,scattered clouds,7.4525,126.5842,Shovy's Cove
28,Isangel,VU,75.81,overcast clouds,-19.55,169.2667,Tanna Lodge
29,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Galesong,ID,89.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
40,Bac Giang,VN,86.07,overcast clouds,21.2667,106.2,An Binh Hotel 2
47,Samarai,PG,79.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
49,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
55,Kieta,PG,76.71,heavy intensity rain,-6.2167,155.6333,Uruna Bay Retreat
60,Atuona,PF,78.85,broken clouds,-9.8,-139.0333,Villa Enata
62,Garmsar,IR,78.91,clear sky,35.2182,52.3409,Peyvand Hotel
64,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
74,Forecariah,GN,78.28,scattered clouds,9.4306,-13.0881,"Motel "" La Maison Blanche"""
75,Hun,LY,78.73,clear sky,29.1268,15.9477,Alrwasi Hotel
